id_kab,kab_kota,provinsi
3372,KOTA SURAKARTA,Jawa Tengah
3506,KAB. KEDIRI,Jawa Timur
7313,KAB. WAJO,Sulawesi Selatan
5309,KAB. NGADA,Nusa Tenggara Timur
7105,KAB. MINAHASA SELATAN,Sulawesi Utara
7210,KAB. SIGI,Sulawesi Tengah
3216,KAB. BEKASI,Jawa Barat
3306,KAB. PURWOREJO,Jawa Tengah
7502,KAB. BOALEMO,Gorontalo
1709,KAB. BENGKULU TENGAH,Bengkulu
3672,KOTA CILEGON,Banten
1118,KAB. PIDIE JAYA,Aceh
9105,KAB. KEPULAUAN YAPEN,Papua
1901,KAB. BANGKA,Kepulauan Bangka Belitung
5311,KAB. SUMBA TIMUR,Nusa Tenggara Timur
6305,KAB. TAPIN,Kalimantan Selatan
3327,KAB. PEMALANG,Jawa Tengah
6401,KAB. PASER,Kalimantan Timur
3278,KOTA TASIKMALAYA,Jawa Barat
6109,KAB. SEKADAU,Kalimantan Barat
7372,KOTA PARE PARE,Sulawesi Selatan
3307,KAB. WONOSOBO,Jawa Tengah
1203,KAB. TAPANULI SELATAN ,Sumatera Utara
1210,KAB. LABUHANBATU ,Sumatera Utara
1605,KAB. MUSI RAWAS,Sumatera Selatan
6271,KOTA PALANGKARAYA,Kalimantan Tengah
1106,KAB. ACEH BESAR,Aceh
1305,KAB. PADANG PARIAMAN,Sumatera Barat
1112,KAB. ACEH BARAT DAYA,Aceh
5171,KOTA DENPASAR,Bali
3175,KOTA ADM. JAKARTA TIMUR,DKI Jakarta
9116,KAB. BOVEN DIGOEL,Papua
1175,KOTA SUBULUSSALAM,Aceh
3326,KAB. PEKALONGAN,Jawa Tengah
8203,KAB. HALMAHERA UTARA,Maluku Utara
1207,KAB. DELI SERDANG ,Sumatera Utara
1504,KAB. BATANGHARI,Jambi
3374,KOTA SEMARANG,Jawa Tengah
1105,KAB. ACEH BARAT,Aceh
3206,KAB. TASIKMALAYA,Jawa Barat
3323,KAB. TEMANGGUNG,Jawa Tengah
9202,KAB. MANOKWARI,Papua Barat
8107,KAB. KEPULAUAN ARU,Maluku
3212,KAB. INDRAMAYU,Jawa Barat
1701,KAB. BENGKULU SELATAN,Bengkulu
6104,KAB. KETAPANG,Kalimantan Barat
3308,KAB. MAGELANG,Jawa Tengah
