name,province,district_city,kab_kota,country,coordinates_latitude,coordinates_longitude,current_ts,current_condition,current_humidity
Banda Aceh,Aceh,Kota Banda Aceh,Banda Aceh,Indonesia,5.54167,95.33333,18/03/2020 05:00,Broken clouds,56
Langsa,Aceh,Kota Langsa,Langsa,Indonesia,4.4683,97.9683,18/03/2020 16:00,Broken clouds,56
Lhokseumawe,Aceh,Kota Lhokseumawe,Lhokseumawe,Indonesia,5.1801,97.1507,18/03/2020 16:00,Rain,66
Sabang,Aceh,Kota Sabang,Sabang,Indonesia,5.88969,95.31644,18/03/2020 16:00,Broken clouds,74
Meulaboh,Aceh,Kabupaten Aceh Barat,Aceh Barat,Indonesia,4.14402,96.12664,18/03/2020 16:00,Scattered clouds,68
Blangpidie,Aceh,Kabupaten Aceh Barat Daya,Aceh Barat Daya,Indonesia,3.73956,96.83608,18/03/2020 16:00,Rain,74
Jantho,Aceh,Kabupaten Aceh Besar,Aceh Besar,Indonesia,5.3334,95.61336,18/03/2020 16:00,Broken clouds,56
Calang,Aceh,Kabupaten Aceh Jaya,Aceh Jaya,Indonesia,4.6306,95.5754,18/03/2020 16:00,Scattered clouds,69
Tapaktuan,Aceh,Kabupaten Aceh Selatan,Aceh Selatan,Indonesia,3.28625,97.16045,18/03/2020 16:00,Rain,74
Singkil,Aceh,Kabupaten Aceh Singkil,Aceh Singkil,Indonesia,2.2874,97.7884,18/03/2020 16:00,Rain,66
Karangbaru,Aceh,Kabupaten Aceh Tamiang,Aceh Tamiang,Indonesia,4.30563,98.02709,18/03/2020 16:00,Broken clouds,56
Takengon,Aceh,Kabupaten Aceh Tengah,Aceh Tengah,Indonesia,4.6212,96.8467,18/03/2020 16:00,Scattered clouds,49
Kutacane,Aceh,Kabupaten Aceh Tenggara,Aceh Tenggara,Indonesia,3.52211,97.79625,18/03/2020 16:00,Scattered clouds,57
Idi Rayeuk,Aceh,Kabupaten Aceh Timur,Aceh Timur,Indonesia,4.93037,97.79129,18/03/2020 16:00,Scattered clouds,68
Simpang Tiga Redelong,Aceh,Kabupaten Bener Meriah,Bener Meriah,Indonesia,4.722,96.8743,18/03/2020 16:00,Scattered clouds,49
Bireun,Aceh,Kabupaten Bireuen,Bireuen,Indonesia,5.203,96.7009,18/03/2020 16:00,Clear sky,69
Blangkejeren,Aceh,Kabupaten Gayo Lues,Gayo Lues,Indonesia,3.9971,97.3384,18/03/2020 16:00,Broken clouds,56
Suka Makmue,Aceh,Kabupaten Nagan Raya,Nagan Raya,Indonesia,4.00312,96.61762,18/03/2020 16:00,Broken clouds,66
Sigli,Aceh,Kabupaten Pidie,Pidie,Indonesia,5.3848,95.9609,18/03/2020 16:00,Few clouds,66
Sinabang,Aceh,Kabupaten Simeulue,Simeulue,Indonesia,2.4803,96.3801,18/03/2020 16:00,Rain,73
Mangupura,Bali,Kabupaten Badung,Badung,Indonesia,-8.54389,115.17,18/03/2020 16:00,Scattered clouds,84
Amlapura,Bali,Kabupaten Karangasem,Karangasem,Indonesia,-8.45,115.61667,18/03/2020 16:00,Scattered clouds,84
Semarapura,Bali,Kabupaten Klungkung,Klungkung,Indonesia,-8.5346,115.4022,18/03/2020 16:00,Scattered clouds,84
